perturbation_id,n_atoms_perturbed,perturbation_strength,magnitude_angstrom,is_valid,reference_energy,xgboost_base_energy,xgboost_perturbed_energy,xgboost_delta_energy,xgboost_sensitivity
0,1,2,0.11428289387803912,True,-1555.4173309639336,-1553.7017,-1553.6526,0.049072266,0.42939292102078847
1,1,2,0.11428289387803912,True,-1555.4173309639336,-1553.7017,-1553.6964,0.0052490234,0.04593008856690026
2,1,2,0.11428289387803912,True,-1555.4173309639336,-1553.7017,-1553.6526,0.049072266,0.42939292102078847
3,1,2,0.11428289387803912,True,-1555.4173309639336,-1553.7017,-1553.6526,0.049072266,0.42939292102078847
4,1,2,0.11428289387803912,True,-1555.4173309639336,-1553.7017,-1553.6526,0.049072266,0.42939292102078847
5,1,2,0.11428289387803912,True,-1555.4173309639336,-1553.7017,-1553.6526,0.049072266,0.42939292102078847
6,1,2,0.11428289387803912,True,-1555.4173309639336,-1553.7017,-1553.6526,0.049072266,0.42939292102078847
7,1,2,0.11428289387803912,True,-1555.4173309639336,-1553.7017,-1553.6964,0.0052490234,0.04593008856690026
8,1,2,0.11428289387803912,True,-1555.4173309639336,-1553.7017,-1553.6964,0.0052490234,0.04593008856690026
9,1,2,0.11428289387803912,True,-1555.4173309639336,-1553.7017,-1553.6526,0.049072266,0.42939292102078847
10,1,2,0.11428289387803912,True,-1555.4173309639336,-1553.7017,-1553.6964,0.0052490234,0.04593008856690026
11,1,2,0.11428289387803912,True,-1555.4173309639336,-1553.7017,-1553.6964,0.0052490234,0.04593008856690026
12,1,2,0.11428289387803912,True,-1555.4173309639336,-1553.7017,-1553.6809,0.020751953,0.18158407107844288
13,1,2,0.11428289387803912,True,-1555.4173309639336,-1553.7017,-1553.6804,0.021240234,0.18585663745675918
14,1,2,0.11428289387803912,True,-1555.4173309639336,-1553.7017,-1553.7017,0.0,0.0
